,lat,long,Neighborhood
0,43.6673421,-79.3884571,Bay Street Corridor
1,43.6954005,-79.485495,Black Creek
2,43.6628435,-79.3863114,Church-Yonge Corridor
3,43.662394,-79.4465194,Dovercourt-Wallace Emerson-Junction
4,43.6129441,-79.6768037,Downsview-Roding-CFB
5,43.7142417,-79.4370715,Englemount-Lawrence
6,43.7184315,-79.333204,Flemingdon Park
7,43.7572532,-79.5176975,Glenfield-Jane Heights
8,43.6573833,-79.470961,High Park North
9,43.6487953,-79.5490002,Islington-City Centre West
10,43.6993246,-79.5592975,Kingsview Village-The Westway
11,43.8091955,-79.2217008,Malvern
12,43.6230978,-79.4886062,Mimico (includes Humber Bay Shores)
13,43.6546438,-79.3697278,Moss Park
14,43.7425344,-79.6136537,Mount Olive-Silverstone-Jamestown
15,43.7084166,-79.3901348,Mount Pleasant West
16,43.6708625,-79.37279241,North St. James Town
17,43.754044,-79.3412877,Parkwoods-Donalda
18,43.8049304,-79.1658374,Rouge
19,43.638093,-79.4665843,South Parkdale
20,43.6976474,-79.3011926,Taylor-Massey
21,43.704553,-79.3454074,Thorncliffe Park
22,43.641652,-79.3801099,Waterfront Communities-The Island
23,43.7689144,-79.1872905,West Hill
24,43.7356531,-79.6280322,West Humber-Clairville
25,43.7767117,-79.4717402,Westminster-Branson
26,43.7612444,-79.296855,Wexford/Maryvale
27,43.7615095,-79.4109234,Willowdale East
28,43.7598243,-79.2252908,Woburn
29,43.7587808,-79.5194336,York University Heights